,title,gross_worldwide,movie_id,year,plot,clean_plot,token_plot,lemma_plot,stem_plot,lemma_plot2
0,Avengers: Endgame,"$2,797,800,564",4154796,2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",after the devastating events of avengers  infinity war     the universe is in ruins  with the help of remaining allies  the avengers assemble once more in order to reverse thanos  actions and restore balance to the universe,"['after', 'the', 'devastating', 'events', 'of', 'avengers', 'infinity', 'war', 'the', 'universe', 'is', 'in', 'ruins', 'with', 'the', 'help', 'of', 'remaining', 'allies', 'the', 'avengers', 'assemble', 'once', 'more', 'in', 'order', 'to', 'reverse', 'thanos', 'actions', 'and', 'restore', 'balance', 'to', 'the', 'universe']","['devastating', 'event', 'avenger', 'infinity', 'war', 'universe', 'ruin', 'help', 'remaining', 'ally', 'avenger', 'assemble', 'order', 'reverse', 'thanos', 'action', 'restore', 'balance', 'universe']","['devast', 'event', 'aveng', 'infin', 'war', 'univers', 'ruin', 'help', 'remain', 'alli', 'aveng', 'assembl', 'onc', 'order', 'revers', 'thano', 'action', 'restor', 'balanc', 'univers']","['devastate', 'event', 'avenger', 'infinity', 'war', 'universe', 'ruin', 'help', 'remain', 'ally', 'avenger', 'assemble', 'order', 'reverse', 'thanos', 'action', 'restore', 'balance', 'universe']"
1,Avatar,"$2,790,439,000",499549,2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,a paraplegic marine dispatched to the moon pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home,"['a', 'paraplegic', 'marine', 'dispatched', 'to', 'the', 'moon', 'pandora', 'on', 'a', 'unique', 'mission', 'becomes', 'torn', 'between', 'following', 'his', 'orders', 'and', 'protecting', 'the', 'world', 'he', 'feels', 'is', 'his', 'home']","['paraplegic', 'marine', 'dispatched', 'moon', 'pandora', 'unique', 'mission', 'becomes', 'torn', 'following', 'order', 'protecting', 'world', 'feel', 'home']","['parapleg', 'marin', 'dispatch', 'moon', 'pandora', 'uniqu', 'mission', 'becom', 'torn', 'follow', 'order', 'protect', 'world', 'feel', 'home']","['paraplegic', 'marine', 'dispatch', 'moon', 'pandora', 'unique', 'mission', 'becomes', 'torn', 'follow', 'order', 'protect', 'world', 'feel', 'home']"
2,Titanic,"$2,195,169,696",120338,1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.::j-jessie-weaver",a seventeen year old aristocrat falls in love with a kind but poor artist aboard the luxurious  ill fated r m s  titanic   j jessie weaver,"['a', 'seventeen', 'year', 'old', 'aristocrat', 'falls', 'in', 'love', 'with', 'a', 'kind', 'but', 'poor', 'artist', 'aboard', 'the', 'luxurious', 'ill', 'fated', 'r', 'm', 's', 'titanic', 'j', 'jessie', 'weaver']","['seventeen', 'year', 'old', 'aristocrat', 'fall', 'love', 'kind', 'poor', 'artist', 'aboard', 'luxurious', 'ill', 'fated', 'r', 'titanic', 'j', 'jessie', 'weaver']","['seventeen', 'year', 'old', 'aristocrat', 'fall', 'love', 'kind', 'poor', 'artist', 'aboard', 'luxuri', 'ill', 'fate', 'r', 'titan', 'j', 'jessi', 'weaver']","['seventeen', 'year', 'old', 'aristocrat', 'fall', 'love', 'kind', 'poor', 'artist', 'aboard', 'luxurious', 'ill', 'fat', 'r', 'titanic', 'j', 'jessie', 'weaver']"
3,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624",2488496,2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",as a new threat to the galaxy rises  rey  a desert scavenger  and finn  an ex stormtrooper  must join han solo and chewbacca to search for the one hope of restoring peace,"['as', 'a', 'new', 'threat', 'to', 'the', 'galaxy', 'rises', 'rey', 'a', 'desert', 'scavenger', 'and', 'finn', 'an', 'ex', 'stormtrooper', 'must', 'join', 'han', 'solo', 'and', 'chewbacca', 'to', 'search', 'for', 'the', 'one', 'hope', 'of', 'restoring', 'peace']","['new', 'threat', 'galaxy', 'rise', 'rey', 'desert', 'scavenger', 'finn', 'ex', 'stormtrooper', 'must', 'join', 'han', 'solo', 'chewbacca', 'search', 'one', 'hope', 'restoring', 'peace']","['new', 'threat', 'galaxi', 'rise', 'rey', 'desert', 'scaveng', 'finn', 'ex', 'stormtroop', 'must', 'join', 'han', 'solo', 'chewbacca', 'search', 'one', 'hope', 'restor', 'peac']","['new', 'threat', 'galaxy', 'rise', 'rey', 'desert', 'scavenger', 'finn', 'ex', 'stormtrooper', 'must', 'join', 'han', 'solo', 'chewbacca', 'search', 'one', 'hope', 'restore', 'peace']"
4,Avengers: Infinity War,"$2,048,359,754",4154756,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.::ahmetkozan,the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe   ahmetkozan,"['the', 'avengers', 'and', 'their', 'allies', 'must', 'be', 'willing', 'to', 'sacrifice', 'all', 'in', 'an', 'attempt', 'to', 'defeat', 'the', 'powerful', 'thanos', 'before', 'his', 'blitz', 'of', 'devastation', 'and', 'ruin', 'puts', 'an', 'end', 'to', 'the', 'universe', 'ahmetkozan']","['avenger', 'ally', 'must', 'willing', 'sacrifice', 'attempt', 'defeat', 'powerful', 'thanos', 'blitz', 'devastation', 'ruin', 'put', 'end', 'universe', 'ahmetkozan']","['aveng', 'alli', 'must', 'sacrific', 'attempt', 'defeat', 'power', 'thano', 'befor', 'blitz', 'devast', 'ruin', 'put', 'end', 'univers', 'ahmetkozan']","['avenger', 'ally', 'must', 'willing', 'sacrifice', 'attempt', 'defeat', 'powerful', 'thanos', 'blitz', 'devastation', 'ruin', 'put', 'end', 'universe', 'ahmetkozan']"
5,Jurassic World,"$1,670,400,637",369610,2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.::jgp3553@yahoo.com",a new theme park  built on the original site of jurassic park  creates a genetically modified hybrid dinosaur  the indominus rex  which escapes containment and goes on a killing spree   jgp yahoo com,"['a', 'new', 'theme', 'park', 'built', 'on', 'the', 'original', 'site', 'of', 'jurassic', 'park', 'creates', 'a', 'genetically', 'modified', 'hybrid', 'dinosaur', 'the', 'indominus', 'rex', 'which', 'escapes', 'containment', 'and', 'goes', 'on', 'a', 'killing', 'spree', 'jgp', 'yahoo', 'com']","['new', 'theme', 'park', 'built', 'original', 'site', 'jurassic', 'park', 'creates', 'genetically', 'modified', 'hybrid', 'dinosaur', 'indominus', 'rex', 'escape', 'containment', 'go', 'killing', 'spree', 'jgp', 'yahoo', 'com']","['new', 'theme', 'park', 'built', 'origin', 'site', 'jurass', 'park', 'creat', 'genet', 'modifi', 'hybrid', 'dinosaur', 'indominus', 'rex', 'escap', 'contain', 'go', 'kill', 'spree', 'jgp', 'yahoo', 'com']","['new', 'theme', 'park', 'built', 'original', 'site', 'jurassic', 'park', 'creates', 'genetically', 'modify', 'hybrid', 'dinosaur', 'indominus', 'rex', 'escape', 'containment', 'go', 'kill', 'spree', 'jgp', 'yahoo', 'com']"
6,The Avengers,"$1,518,812,988",848228,2012,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.::Tim Wakeman,earth s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity   tim wakeman,"['earth', 's', 'mightiest', 'heroes', 'must', 'come', 'together', 'and', 'learn', 'to', 'fight', 'as', 'a', 'team', 'if', 'they', 'are', 'going', 'to', 'stop', 'the', 'mischievous', 'loki', 'and', 'his', 'alien', 'army', 'from', 'enslaving', 'humanity', 'tim', 'wakeman']","['earth', 'mightiest', 'hero', 'must', 'come', 'together', 'learn', 'fight', 'team', 'going', 'stop', 'mischievous', 'loki', 'alien', 'army', 'enslaving', 'humanity', 'tim', 'wakeman']","['earth', 'mightiest', 'hero', 'must', 'come', 'togeth', 'learn', 'fight', 'team', 'go', 'stop', 'mischiev', 'loki', 'alien', 'armi', 'enslav', 'human', 'tim', 'wakeman']","['earth', 'mighty', 'hero', 'must', 'come', 'together', 'learn', 'fight', 'team', 'go', 'stop', 'mischievous', 'loki', 'alien', 'army', 'enslave', 'humanity', 'tim', 'wakeman']"
7,Furious 7,"$1,515,048,151",2820852,2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.::ankurgow3,deckard shaw seeks revenge against dominic toretto and his family for his comatose brother   ankurgow,"['deckard', 'shaw', 'seeks', 'revenge', 'against', 'dominic', 'toretto', 'and', 'his', 'family', 'for', 'his', 'comatose', 'brother', 'ankurgow']","['deckard', 'shaw', 'seek', 'revenge', 'dominic', 'toretto', 'family', 'comatose', 'brother', 'ankurgow']","['deckard', 'shaw', 'seek', 'reveng', 'domin', 'toretto', 'famili', 'comatos', 'brother', 'ankurgow']","['deckard', 'shaw', 'seek', 'revenge', 'dominic', 'toretto', 'family', 'comatose', 'brother', 'ankurgow']"
8,Frozen II,"$1,450,026,933",4520988,2019,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.::Seha",anna  elsa  kristoff  olaf and sven leave arendelle to travel to an ancient  autumn bound forest of an enchanted land  they set out to find the origin of elsa s powers in order to save their kingdom   seha,"['anna', 'elsa', 'kristoff', 'olaf', 'and', 'sven', 'leave', 'arendelle', 'to', 'travel', 'to', 'an', 'ancient', 'autumn', 'bound', 'forest', 'of', 'an', 'enchanted', 'land', 'they', 'set', 'out', 'to', 'find', 'the', 'origin', 'of', 'elsa', 's', 'powers', 'in', 'order', 'to', 'save', 'their', 'kingdom', 'seha']","['anna', 'elsa', 'kristoff', 'olaf', 'sven', 'leave', 'arendelle', 'travel', 'ancient', 'autumn', 'bound', 'forest', 'enchanted', 'land', 'set', 'find', 'origin', 'elsa', 'power', 'order', 'save', 'kingdom', 'seha']","['anna', 'elsa', 'kristoff', 'olaf', 'sven', 'leav', 'arendell', 'travel', 'ancient', 'autumn', 'bound', 'forest', 'enchant', 'land', 'set', 'find', 'origin', 'elsa', 'power', 'order', 'save', 'kingdom', 'seha']","['anna', 'elsa', 'kristoff', 'olaf', 'sven', 'leave', 'arendelle', 'travel', 'ancient', 'autumn', 'bound', 'forest', 'enchant', 'land', 'set', 'find', 'origin', 'elsa', 'power', 'order', 'save', 'kingdom', 'seha']"
9,Avengers: Age of Ultron,"$1,402,808,753",2395427,2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.::Anonymous",when tony stark and bruce banner try to jump start a dormant peacekeeping program called ultron  things go horribly wrong and it s up to earth s mightiest heroes to stop the villainous ultron from enacting his terrible plan   anonymous,"['when', 'tony', 'stark', 'and', 'bruce', 'banner', 'try', 'to', 'jump', 'start', 'a', 'dormant', 'peacekeeping', 'program', 'called', 'ultron', 'things', 'go', 'horribly', 'wrong', 'and', 'it', 's', 'up', 'to', 'earth', 's', 'mightiest', 'heroes', 'to', 'stop', 'the', 'villainous', 'ultron', 'from', 'enacting', 'his', 'terrible', 'plan', 'anonymous']","['tony', 'stark', 'bruce', 'banner', 'try', 'jump', 'start', 'dormant', 'peacekeeping', 'program', 'called', 'ultron', 'thing', 'go', 'horribly', 'wrong', 'earth', 'mightiest', 'hero', 'stop', 'villainous', 'ultron', 'enacting', 'terrible', 'plan', 'anonymous']","['toni', 'stark', 'bruce', 'banner', 'tri', 'jump', 'start', 'dormant', 'peacekeep', 'program', 'call', 'ultron', 'thing', 'go', 'horribl', 'wrong', 'earth', 'mightiest', 'hero', 'stop', 'villain', 'ultron', 'enact', 'terribl', 'plan', 'anonym']","['tony', 'stark', 'bruce', 'banner', 'try', 'jump', 'start', 'dormant', 'peacekeeping', 'program', 'call', 'ultron', 'thing', 'go', 'horribly', 'wrong', 'earth', 'mighty', 'hero', 'stop', 'villainous', 'ultron', 'enact', 'terrible', 'plan', 'anonymous']"
